3P,3PA,AST,BLK,FG,FGA,FT,FTA,ORB,PF,PTS,STL,TOV,TRB,is_Home,Team_Win,opponent,opp_TRB,opp_3P,opp_3PA,opp_AST,opp_BLK,opp_FG,opp_FGA,opp_FT,opp_FTA,opp_PTS,opp_ORB,opp_STL,opp_PF,opp_TOV,Team,Game_Id
14.0,34.0,19.0,4.0,32.0,86.0,13.0,20.0,11.0,23.0,91.0,2.0,19.0,52.0,1,0,Charlotte,49.0,7.0,22.0,20.0,9.0,35.0,92.0,20.0,24.0,97.0,13.0,10.0,20.0,8.0,Miami,10/28/2016_Miami_Charlotte
9.0,28.0,32.0,2.0,44.0,91.0,25.0,28.0,9.0,22.0,122.0,8.0,14.0,49.0,0,1,New Orleans,49.0,5.0,22.0,29.0,5.0,47.0,100.0,15.0,23.0,114.0,12.0,8.0,24.0,13.0,Golden State,10/28/2016_New Orleans_Golden State
5.0,22.0,29.0,5.0,47.0,100.0,15.0,23.0,12.0,24.0,114.0,8.0,13.0,49.0,1,0,Golden State,49.0,9.0,28.0,32.0,2.0,44.0,91.0,25.0,28.0,122.0,9.0,8.0,22.0,14.0,New Orleans,10/28/2016_New Orleans_Golden State
5.0,28.0,15.0,3.0,42.0,94.0,21.0,32.0,7.0,29.0,110.0,11.0,15.0,44.0,0,0,Oklahoma City,57.0,5.0,21.0,13.0,3.0,40.0,96.0,28.0,38.0,113.0,14.0,11.0,24.0,22.0,Phoenix,10/28/2016_Oklahoma City_Phoenix
5.0,21.0,13.0,3.0,40.0,96.0,28.0,38.0,14.0,24.0,113.0,11.0,22.0,57.0,1,1,Phoenix,44.0,5.0,28.0,15.0,3.0,42.0,94.0,21.0,32.0,110.0,7.0,11.0,29.0,15.0,Oklahoma City,10/28/2016_Oklahoma City_Phoenix
12.0,32.0,20.0,3.0,33.0,79.0,16.0,22.0,9.0,15.0,94.0,8.0,17.0,40.0,0,1,Toronto,51.0,4.0,16.0,12.0,3.0,35.0,90.0,17.0,18.0,91.0,18.0,9.0,20.0,18.0,Cleveland,10/28/2016_Toronto_Cleveland
4.0,16.0,12.0,3.0,35.0,90.0,17.0,18.0,18.0,20.0,91.0,9.0,18.0,51.0,1,0,Cleveland,40.0,12.0,32.0,20.0,3.0,33.0,79.0,16.0,22.0,94.0,9.0,8.0,15.0,17.0,Toronto,10/28/2016_Toronto_Cleveland
9.0,23.0,16.0,7.0,32.0,84.0,16.0,21.0,11.0,29.0,89.0,6.0,14.0,43.0,0,0,Utah,47.0,6.0,25.0,14.0,7.0,31.0,75.0,28.0,40.0,96.0,13.0,4.0,18.0,14.0,LA Lakers,10/28/2016_Utah_LA Lakers
6.0,25.0,14.0,7.0,31.0,75.0,28.0,40.0,13.0,18.0,96.0,4.0,14.0,47.0,1,1,LA Lakers,43.0,9.0,23.0,16.0,7.0,32.0,84.0,16.0,21.0,89.0,11.0,6.0,29.0,14.0,Utah,10/28/2016_Utah_LA Lakers
7.0,18.0,34.0,7.0,43.0,88.0,8.0,9.0,8.0,16.0,101.0,8.0,13.0,33.0,0,0,Chicago,47.0,9.0,21.0,34.0,6.0,45.0,86.0,19.0,21.0,118.0,13.0,8.0,14.0,12.0,Indiana,10/29/2016_Chicago_Indiana
